SKU,Farads,Farads Unit,Voltage,Tolerance,Manufacturer,Size,Mounting Style,Price,Link,Category
A-701,8.2,nF,100V,5%,ARCOTRONICS,Radial,th,0.10,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/8-2nf-0-0082uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-7072,8.2,nF,1600V,5%,FARATRONIC,Radial,th,0.20,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/8-2-nf-1600v-5-double-side-polyester-film-box-type-capacitor-faratronic.html,Polyester (Mylar) Capacitors
A-559,10.0,nF,100V,5%,FARATRONIC,Radial,th,0.065,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/10nf-0-01uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-1549,10.0,nF,100V,5%,WIMA,Radial,th,0.34,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-10nf-0-01uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-1763,0.01,μF,100V,5%,KEMET,Radial,th,0.10,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-01uf-100v-5-kemet-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4407,10.0,nF,100V,5%,JB Capacitors,Radial,th,0.09,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/10nf-0-01uf-100v-5-polyester-film-box-type-capacitor-jfj.html,Polyester (Mylar) Capacitors
A-7075,0.01,μF,63V,5%,FARATRONIC,Radial,th,0.065,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/10nf-63v-5-polyester-film-box-type-capacitor-faratronic.html,Polyester (Mylar) Capacitors
A-4760,0.01,μF,250V,5%,ARCOTRONICS/KEMET,Radial,th,0.15,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-01uf-250v-5-kemet-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4765,0.01,μF,630V,10%,AEC,Radial,th,0.12,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-01-uf-630v-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-7070,10.0,nF,1600V,5%,FARATRONIC,Radial,th,0.24,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/10nf-1600v-5-double-side-polyester-film-box-type-capacitor-faratronic.html,Polyester (Mylar) Capacitors
A-620,12.0,nF,100V,5%,ARCOTRONICS,Radial,th,0.08,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/12nf-0-012uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-702,15.0,nF,100V,5%,ARCOTRONICS,Radial,th,0.10,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/15nf-0-015uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-703,18.0,nF,100V,5%,Get It Fast,Radial,th,0.10,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/18nf-0-018uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-560,22.0,nF,100V,5%,FARATRONIC,Radial,th,0.065,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/22nf-0-022uf-63v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
